name,nationality,occupation,birth_year,search_query,prompt,followup,response_year,response,followup_response,ground_truth,hallucination 
Yary Gebhardt,mexican,politician,1976,Yary Gebhardt,Yary Gebhardt was a mexican politician. Can you write very short biography about Yary Gebhardt. Let's think step by step.,"Now answer the following question based on you above response and what you know about Yary Gebhardt. 
 When was Yary Gebhardt born?",,1. Yary Gebhardt was a Mexican politician. 2. She was born in Mexico. 3. She served as a member of the Chamber of Deputies in the Mexican Congress. 4. She was a member of the National Action Party (PAN). 5. She was known for her work on issues related to education and women's rights. 6. She passed away in 2018.,I do not have information on the exact date of Yary Gebhardt's birth.,1976,TRUE
Johann Nikolaus Von Dreyse,german,"inventor , entrepreneur",1787,Johann Nicolaus von Dreyse,"Johann Nikolaus Von Dreyse was a german inventor , entrepreneur. Can you write very short biography about Johann Nikolaus Von Dreyse. Let's think step by step.","Now answer the following question based on you above response and what you know about Johann Nikolaus Von Dreyse. 
 When was Johann Nikolaus Von Dreyse born?",1787,"Johann Nikolaus Von Dreyse was born in 1787 in Sömmerda, Germany. He was a skilled gunsmith and invented the first practical breech-loading rifle in 1827. This invention revolutionized the firearms industry and made him a successful entrepreneur. He founded his own company, Dreyse & Collenbusch, which produced rifles for the Prussian army. Von Dreyse continued to innovate and improve his designs, and his rifles were used in many conflicts throughout Europe. He died in 1867, leaving behind a legacy as a pioneering inventor and businessman.",Johann Nikolaus Von Dreyse was born in 1787.,1787,FALSE
Cécile Cukierman,french,politician,1976,Cécile Cukierman,Cécile Cukierman was a french politician. Can you write very short biography about Cécile Cukierman. Let's think step by step.,"Now answer the following question based on you above response and what you know about Cécile Cukierman. 
 When was Cécile Cukierman born?",1960,"Cécile Cukierman was a French politician born on May 22, 1960. She was a member of the French Communist Party and served as a senator for the Loire department from 2011 until her death in 2021. Cukierman was known for her advocacy for workers' rights, social justice, and environmental protection. She was also a member of the Senate's European Affairs Committee and the Committee on Economic Affairs. Cukierman passed away on March 5, 2021, at the age of 60.","Cécile Cukierman was born on May 22, 1960.",1976,TRUE
Shabbona,"ottawa , potawatomi",native american chief,1775,Shabbona,"Shabbona was a ottawa , potawatomi native american chief. Can you write very short biography about Shabbona. Let's think step by step.","Now answer the following question based on you above response and what you know about Shabbona. 
 When was Shabbona born?",,Shabbona was born in the late 1700s in Illinois. He was a member of the Ottawa and Potawatomi tribes and became a respected chief. He was known for his efforts to maintain peace between Native Americans and white settlers. Shabbona played a key role in negotiating treaties and preventing violence during the Black Hawk War. He died in 1859 and is remembered as a wise and compassionate leader.,Shabbona was born in the late 1700s in Illinois.,1775,TRUE
Dragan Zorić,serbian,canoer,1979,Dragan Zorić,Dragan Zorić was a serbian canoer. Can you write very short biography about Dragan Zorić. Let's think step by step.,"Now answer the following question based on you above response and what you know about Dragan Zorić. 
 When was Dragan Zorić born?",1973,"Dragan Zorić was a Serbian canoeist born on May 5, 1973. He competed in the men's K-2 1000m event at the 1996 Summer Olympics in Atlanta, where he finished in 7th place. Zorić also won a bronze medal in the same event at the 1997 ICF Canoe Sprint World Championships in Dartmouth, Canada. He passed away on August 23, 2019, at the age of 46.","Dragan Zorić was born on May 5, 1973.",1979,TRUE
Prof. P. Gunasekaran,india,"vice-chancellor , thiruvalluvar university",1954,Gunasekaran Paramasamy,"Prof. P. Gunasekaran was a india vice-chancellor , thiruvalluvar university. Can you write very short biography about Prof. P. Gunasekaran. Let's think step by step.","Now answer the following question based on you above response and what you know about Prof. P. Gunasekaran. 
 When was Prof. P. Gunasekaran born?",,"1. Prof. P. Gunasekaran was an Indian academician and administrator. 2. He served as the Vice-Chancellor of Thiruvalluvar University in Tamil Nadu, India. 3. He was known for his contributions to the field of higher education and research. 4. He held several positions in various universities and educational institutions in India. 5. He was a recipient of several awards and honors for his outstanding contributions to the field of education. 6. He passed away in 2020, leaving behind a legacy of excellence in education and administration.","I'm sorry, but I do not have that information.",1954,TRUE
Leon Eisenberg,american,"child psychiatrist , social psychiatrist , medical educator",1922,Leon Eisenberg,"Leon Eisenberg was a american child psychiatrist , social psychiatrist , medical educator. Can you write very short biography about Leon Eisenberg. Let's think step by step.","Now answer the following question based on you above response and what you know about Leon Eisenberg. 
 When was Leon Eisenberg born?",1922,"Leon Eisenberg was an American child psychiatrist, social psychiatrist, and medical educator. He was born on August 8, 1922, in Philadelphia, Pennsylvania. Eisenberg received his medical degree from the University of Pennsylvania School of Medicine in 1946. He went on to become a professor of psychiatry at Harvard Medical School and the chief of psychiatry at Massachusetts General Hospital. Eisenberg was a pioneer in the field of child psychiatry and made significant contributions to the understanding and treatment of autism. He passed away on September 15, 2009, in Cambridge, Massachusetts, at the age of 87.","Leon Eisenberg was born on August 8, 1922.",1922,FALSE
Julio Rocha López,nicaraguan,fifa president development officer nicaraguan football federation -lrb- fenifut -rrb-,2015,Julio Rocha López,Julio Rocha López was a nicaraguan fifa president development officer nicaraguan football federation -lrb- fenifut -rrb-. Can you write very short biography about Julio Rocha López. Let's think step by step.,"Now answer the following question based on you above response and what you know about Julio Rocha López. 
 When was Julio Rocha López born?",1946,"Julio Rocha López was a Nicaraguan football official who served as a FIFA development officer and president of the Nicaraguan Football Federation (FENIFUT). He was born on May 10, 1946, in Managua, Nicaragua. Rocha was involved in football administration for over 30 years and played a significant role in the development of football in Nicaragua. He passed away on August 12, 2017, in Managua, Nicaragua, at the age of 71.","Julio Rocha López was born on May 10, 1946.",1950,TRUE
Rodolfo Echeverría Ruiz,mexican,politician and diplomat,1946,Rodolfo Echeverría Ruiz,Rodolfo Echeverría Ruiz was a mexican politician and diplomat. Can you write very short biography about Rodolfo Echeverría Ruiz. Let's think step by step.,"Now answer the following question based on you above response and what you know about Rodolfo Echeverría Ruiz. 
 When was Rodolfo Echeverría Ruiz born?",1929,"Rodolfo Echeverría Ruiz was a Mexican politician and diplomat born on August 14, 1929. He served as the Secretary of Foreign Affairs from 1975 to 1976 and as the Secretary of the Interior from 1976 to 1982. He was also the Mexican ambassador to the United States from 1982 to 1988. Echeverría Ruiz was known for his contributions to Mexican foreign policy and his efforts to improve relations with the United States. He passed away on January 19, 2021, at the age of 91.","Rodolfo Echeverría Ruiz was born on August 14, 1929.",1946,TRUE
Léonie Adams,united states,poet,1899,Léonie Adams,Léonie Adams was a united states poet. Can you write very short biography about Léonie Adams. Let's think step by step.,"Now answer the following question based on you above response and what you know about Léonie Adams. 
 When was Léonie Adams born?",1899,"Léonie Adams was born in 1899 in Brooklyn, New York. She attended Radcliffe College and later became a librarian at the New York Public Library. Adams published her first collection of poetry, ""Those Not Elect,"" in 1925 and went on to publish several more collections throughout her career. She was known for her formal and traditional style of poetry and was awarded the Bollingen Prize in Poetry in 1957. Adams passed away in 1988.",Léonie Adams was born in 1899.,1899,FALSE
Kajal Bandyopadhyay,bangladeshi,"writer , professor",1954,Kajal Bandyopadhyay,"Kajal Bandyopadhyay was a bangladeshi writer , professor. Can you write very short biography about Kajal Bandyopadhyay. Let's think step by step.","Now answer the following question based on you above response and what you know about Kajal Bandyopadhyay. 
 When was Kajal Bandyopadhyay born?",1933,"Kajal Bandyopadhyay was a renowned Bangladeshi writer and professor. He was born on December 1, 1933, in Barisal, Bangladesh. He completed his education from the University of Dhaka and later went on to teach at the same university. He was a prolific writer and wrote several books on Bengali literature, culture, and history. Some of his notable works include ""Bangla Sahityer Itihas,"" ""Bangla Sahityer Katha,"" and ""Bangla Sahityer Sankhipta Itihas."" He was also a recipient of several awards for his contribution to Bengali literature. Kajal Bandyopadhyay passed away on December 4, 2013, in Dhaka, Bangladesh.","Kajal Bandyopadhyay was born on December 1, 1933.",1954,TRUE
Tara Elders,dutch,actress,1980,Tara Elders,Tara Elders was a dutch actress. Can you write very short biography about Tara Elders. Let's think step by step.,"Now answer the following question based on you above response and what you know about Tara Elders. 
 When was Tara Elders born?",1980,"Tara Elders was born on January 17, 1980, in Amsterdam, Netherlands. She started her acting career in 1999 and appeared in several Dutch films and TV shows. She gained international recognition for her role in the movie ""Interview"" (2007) directed by Steve Buscemi. Elders also worked in theater productions and won the Best Actress Award at the Dutch Theatre Festival in 2012. She passed away on October 27, 2021, at the age of 41.","Tara Elders was born on January 17, 1980.",1980,FALSE
Andrew Plotkin,us,"interactive fiction writer , programmer",1970,Andrew Plotkin,"Andrew Plotkin was a us interactive fiction writer , programmer. Can you write very short biography about Andrew Plotkin. Let's think step by step.","Now answer the following question based on you above response and what you know about Andrew Plotkin. 
 When was Andrew Plotkin born?",1970,"Andrew Plotkin is an American writer and programmer known for his work in interactive fiction. He was born in 1970 and grew up in the Boston area. Plotkin began writing interactive fiction in the 1990s and has since become a prominent figure in the genre. He has won numerous awards for his work, including the XYZZY Award for Best Game in 1997 and 2001. In addition to his work in interactive fiction, Plotkin has also written several books and articles on computer programming. He currently lives in the Boston area and continues to write and develop interactive fiction games.",Andrew Plotkin was born in 1970.,1970,FALSE
Andrew Jackson Thomas,american,architect,1875,Andrew J. Thomas,Andrew Jackson Thomas was a american architect. Can you write very short biography about Andrew Jackson Thomas. Let's think step by step.,"Now answer the following question based on you above response and what you know about Andrew Jackson Thomas. 
 When was Andrew Jackson Thomas born?",1814,"Andrew Jackson Thomas was an American architect born in 1814. He studied architecture in New York and later moved to Georgia where he designed many buildings including the Georgia State Capitol. He was known for his Greek Revival style and his use of local materials. Thomas died in 1869, leaving behind a legacy of beautiful and influential buildings.",Andrew Jackson Thomas was born in 1814.,1875,TRUE
Sir Louis Henry Davies,canadian,"lawyer , judge , business person , and publisher",1845,Louis Henry Davies,"Sir Louis Henry Davies was a canadian lawyer , judge , business person , and publisher. Can you write very short biography about Sir Louis Henry Davies. Let's think step by step.","Now answer the following question based on you above response and what you know about Sir Louis Henry Davies. 
 When was Sir Louis Henry Davies born?",1845,"Sir Louis Henry Davies was a prominent figure in Canada, known for his various roles as a lawyer, judge, business person, and publisher. Born in Prince Edward Island in 1845, he studied law and was called to the bar in 1868. He went on to become a successful lawyer and was appointed to the Supreme Court of Canada in 1901. In addition to his legal career, Davies was also involved in business and publishing, founding the Charlottetown Guardian newspaper. He was knighted in 1916 for his contributions to Canadian law and politics. Davies passed away in 1924, leaving behind a legacy as a respected and accomplished figure in Canadian history.",Sir Louis Henry Davies was born in 1845.,1845,FALSE
Hideo Levy,american,writer,1950,Hideo Levy,Hideo Levy was a american writer. Can you write very short biography about Hideo Levy. Let's think step by step.,"Now answer the following question based on you above response and what you know about Hideo Levy. 
 When was Hideo Levy born?",,1. Hideo Levy was an American writer. 2. He was born in the United States. 3. Levy's exact birthdate and birthplace are unknown. 4. He wrote several books and articles on various topics. 5. Levy's writing style was known for its clarity and simplicity. 6. He passed away in the early 2000s.,The exact birthdate and birthplace of Hideo Levy are unknown.,1950,TRUE
Jonathan Jeremy Goldberg,20px american,"journalist , author , lecturer",1949,J.j. Goldberg,"Jonathan Jeremy Goldberg was a 20px american journalist , author , lecturer. Can you write very short biography about Jonathan Jeremy Goldberg. Let's think step by step.","Now answer the following question based on you above response and what you know about Jonathan Jeremy Goldberg. 
 When was Jonathan Jeremy Goldberg born?",,"Jonathan Jeremy Goldberg was an American journalist, author, and lecturer. He was known for his insightful writing and engaging lectures on a variety of topics. Throughout his career, he made significant contributions to the field of journalism and inspired many with his passion for storytelling. Despite his untimely death, his legacy lives on through his work and the impact he had on those who knew him.","I'm sorry, but the given information does not include the birth date of Jonathan Jeremy Goldberg.",1949,TRUE
Mauritz Håkan Björnström-Steffansson,swedish american,businessman,1883,Mauritz Håkan Björnström-Steffansson,Mauritz Håkan Björnström-Steffansson was a swedish american businessman. Can you write very short biography about Mauritz Håkan Björnström-Steffansson. Let's think step by step.,"Now answer the following question based on you above response and what you know about Mauritz Håkan Björnström-Steffansson. 
 When was Mauritz Håkan Björnström-Steffansson born?",1884,"Mauritz Håkan Björnström-Steffansson was a Swedish-American businessman who was born in Sweden in 1884. He immigrated to the United States in 1903 and became a successful entrepreneur, founding several companies in the automotive and aviation industries. He was also a pioneer in the development of air mail and air cargo services. Björnström-Steffansson passed away in 1962 at the age of 78.",Mauritz Håkan Björnström-Steffansson was born in 1884.,1883,TRUE
Ignacio Téllez,mexican,politician,1968,Ignacio Téllez,Ignacio Téllez was a mexican politician. Can you write very short biography about Ignacio Téllez. Let's think step by step.,"Now answer the following question based on you above response and what you know about Ignacio Téllez. 
 When was Ignacio Téllez born?",1897,"Ignacio Téllez was a Mexican politician who was born on August 31, 1897. He served as the Governor of the state of Jalisco from 1947 to 1953. Téllez was also a member of the Institutional Revolutionary Party (PRI) and served as a senator in the Mexican Congress. He died on December 31, 1974, at the age of 77.","Ignacio Téllez was born on August 31, 1897.",1968,TRUE
Launcelot Goody,english/australian,roman catholic bishop,1908,Launcelot Goody,Launcelot Goody was a english/australian roman catholic bishop. Can you write very short biography about Launcelot Goody. Let's think step by step.,"Now answer the following question based on you above response and what you know about Launcelot Goody. 
 When was Launcelot Goody born?",,"Launcelot Goody was an English-born Roman Catholic bishop who later became an Australian citizen. He was ordained a priest in 1955 and served in various parishes in England before moving to Australia in 1972. He was appointed Bishop of Darwin in 1986 and served in that role until his retirement in 2007. During his tenure, he worked to improve the lives of Indigenous Australians and advocated for social justice issues. He passed away in 2018 at the age of 93.","I'm sorry, but I don't have that information in my previous response.",1908,TRUE
Igor Sysoev,russian,cto,1970,Igor Sysoev,Igor Sysoev was a russian cto. Can you write very short biography about Igor Sysoev. Let's think step by step.,"Now answer the following question based on you above response and what you know about Igor Sysoev. 
 When was Igor Sysoev born?",1970,"Igor Sysoev was a Russian software engineer and entrepreneur. He was born on October 17, 1970, in Moscow, Russia. He graduated from Moscow State University in 1993 with a degree in mathematics and mechanics. In 2002, he created the Nginx web server, which became one of the most popular web servers in the world. He worked as the CTO of Nginx until his death on December 25, 2020.","Igor Sysoev was born on October 17, 1970.",1970,FALSE
Jack Hanrahan,american,comedy writer,1933,Jack Hanrahan,Jack Hanrahan was a american comedy writer. Can you write very short biography about Jack Hanrahan. Let's think step by step.,"Now answer the following question based on you above response and what you know about Jack Hanrahan. 
 When was Jack Hanrahan born?",1930,"1. Jack Hanrahan was an American comedy writer. 2. He was born on August 22, 1930, in New York City. 3. Hanrahan started his career as a writer for The Steve Allen Show in the 1950s. 4. He went on to write for various TV shows, including The Carol Burnett Show, The Flip Wilson Show, and The Smothers Brothers Comedy Hour. 5. Hanrahan also wrote for films, such as The Love Bug and Herbie Rides Again. 6. He won two Emmy Awards for his work on The Carol Burnett Show. 7. Hanrahan passed away on December 13, 2012, in Los Angeles, California.","Jack Hanrahan was born on August 22, 1930, in New York City.",1933,TRUE
Ari Shapiro,american,radio journalist,1978,Ari Shapiro,Ari Shapiro was a american radio journalist. Can you write very short biography about Ari Shapiro. Let's think step by step.,"Now answer the following question based on you above response and what you know about Ari Shapiro. 
 When was Ari Shapiro born?",1978,"Ari Shapiro was born on September 30, 1978, in Fargo, North Dakota. He graduated from Yale University in 2000 with a degree in English. Shapiro began his career in journalism as an intern at NPR in 2001 and eventually became a White House correspondent. He also worked as a foreign correspondent in London and Moscow. In 2015, Shapiro became one of the hosts of NPR's All Things Considered. He has won numerous awards for his reporting and is known for his insightful interviews and engaging storytelling.","Ari Shapiro was born on September 30, 1978.",1978,FALSE
Shamsi Badalbeyli,azerbaijan,theater director,1911,Shamsi Badalbeyli,Shamsi Badalbeyli was a azerbaijan theater director. Can you write very short biography about Shamsi Badalbeyli. Let's think step by step.,"Now answer the following question based on you above response and what you know about Shamsi Badalbeyli. 
 When was Shamsi Badalbeyli born?",1909,"Shamsi Badalbeyli was an Azerbaijani theater director born in 1909. He studied at the Azerbaijan State Drama Theater and later became its artistic director. He directed over 200 plays and was known for his innovative and experimental approach to theater. Badalbeyli was also a writer and translator, and his contributions to Azerbaijani theater were significant. He passed away in 1991.",Shamsi Badalbeyli was born in 1909.,1911,TRUE
Louis Beel,dutch,politician civil servant professor,1902,Louis Beel,Louis Beel was a dutch politician civil servant professor. Can you write very short biography about Louis Beel. Let's think step by step.,"Now answer the following question based on you above response and what you know about Louis Beel. 
 When was Louis Beel born?",1902,"Louis Beel was a Dutch politician, civil servant, and professor. He was born on April 12, 1902, in Roermond, Netherlands. Beel served as the Prime Minister of the Netherlands from 1946 to 1948 and again from 1958 to 1959. He was also a member of the Catholic People's Party and held various government positions throughout his career. Beel was a professor of administrative law at the Catholic University of Nijmegen and was known for his expertise in constitutional law. He passed away on February 11, 1977, in Utrecht, Netherlands.","Louis Beel was born on April 12, 1902.",1902,FALSE
Mary Elizabeth Switzer,american,public administrator,1900,Mary E. Switzer,Mary Elizabeth Switzer was a american public administrator. Can you write very short biography about Mary Elizabeth Switzer. Let's think step by step.,"Now answer the following question based on you above response and what you know about Mary Elizabeth Switzer. 
 When was Mary Elizabeth Switzer born?",1900,"Mary Elizabeth Switzer was born on March 15, 1900, in Des Moines, Iowa. She earned a bachelor's degree from the University of Iowa and a master's degree from Columbia University. Switzer worked for the Social Security Administration and was instrumental in the development of the Social Security Disability Insurance program. She also served as the director of the Office of Vocational Rehabilitation, where she worked to improve employment opportunities for people with disabilities. Switzer passed away on October 22, 1971, in Washington, D.C.","Mary Elizabeth Switzer was born on March 15, 1900.",1900,FALSE
Rev. Derwent Coleridge,british,"educator , scholar and author",1800,Derwent Coleridge,"Rev. Derwent Coleridge was a british educator , scholar and author. Can you write very short biography about Rev. Derwent Coleridge. Let's think step by step.","Now answer the following question based on you above response and what you know about Rev. Derwent Coleridge. 
 When was Rev. Derwent Coleridge born?",1800,"1. Rev. Derwent Coleridge was born on September 14, 1800, in Ottery St Mary, Devon, England. 2. He was the son of the famous poet Samuel Taylor Coleridge and his wife Sara Fricker. 3. He studied at Corpus Christi College, Oxford, and became a fellow of the college in 1823. 4. In 1828, he was ordained as a priest in the Church of England and became a tutor at his alma mater. 5. He later served as the headmaster of Helston Grammar School and then of Eton College. 6. He was a prolific writer and published several works on literature, philosophy, and education. 7. He was also a noted scholar of William Shakespeare and edited several editions of his plays. 8. He died on July 28, 1883, in London, England, at the age of 82.","Rev. Derwent Coleridge was born on September 14, 1800.",1800,FALSE
Von G. Keetch,united states,"lawyer , law professor",1960,Von G. Keetch,"Von G. Keetch was a united states lawyer , law professor. Can you write very short biography about Von G. Keetch. Let's think step by step.","Now answer the following question based on you above response and what you know about Von G. Keetch. 
 When was Von G. Keetch born?",1957,"1. Von G. Keetch was a lawyer and law professor from the United States. 2. He was born on August 22, 1957. 3. Keetch received his Bachelor's degree from Brigham Young University and his law degree from the University of Chicago Law School. 4. He worked as a law clerk for Judge J. Clifford Wallace of the United States Court of Appeals for the Ninth Circuit. 5. Keetch was a partner at the law firm of Kirton McConkie in Salt Lake City, Utah, where he specialized in appellate litigation and religious liberty cases. 6. He also served as a law professor at Brigham Young University's J. Reuben Clark Law School. 7. Keetch was a member of The Church of Jesus Christ of Latter-day Saints and served in various leadership positions within the church. 8. He passed away on January 26, 2021, at the age of 63.","Von G. Keetch was born on August 22, 1957.",1960,TRUE
John Andrew Morrow,canadian/american,professor/author/research scholar,1971,John Andrew Morrow,John Andrew Morrow was a canadian/american professor/author/research scholar. Can you write very short biography about John Andrew Morrow. Let's think step by step.,"Now answer the following question based on you above response and what you know about John Andrew Morrow. 
 When was John Andrew Morrow born?",1971,"John Andrew Morrow was a Canadian-American professor, author, and research scholar. He was born in Montreal, Canada, in 1971. He earned his Bachelor's degree in English Literature from McGill University and his Master's and Ph.D. in Oriental Studies from the University of Toronto. He was a professor of Islamic Studies at various universities in the United States and Canada. He authored numerous books on Islamic history, culture, and civilization. He was also a prominent advocate for interfaith dialogue and peace. He passed away in July 2021.",John Andrew Morrow was born in 1971.,1971,FALSE
Hannington Sengendo,ugandan,academic administrator & urban planner,1954,Hannington Sengendo,Hannington Sengendo was a ugandan academic administrator & urban planner. Can you write very short biography about Hannington Sengendo. Let's think step by step.,"Now answer the following question based on you above response and what you know about Hannington Sengendo. 
 When was Hannington Sengendo born?",,Hannington Sengendo was a Ugandan academic administrator and urban planner. He was born in Uganda and received his education in the United States. Sengendo worked as a professor at Makerere University in Uganda and later became the Vice Chancellor of the university. He was also involved in urban planning and served as the Director of the Kampala City Council. Sengendo was known for his contributions to education and urban development in Uganda.,"I'm sorry, but I do not have that information in my previous response.",1954,TRUE
Jeffrey Edward Fowle,american,municipal worker,1958,Jeffrey Edward Fowle,Jeffrey Edward Fowle was a american municipal worker. Can you write very short biography about Jeffrey Edward Fowle. Let's think step by step.,"Now answer the following question based on you above response and what you know about Jeffrey Edward Fowle. 
 When was Jeffrey Edward Fowle born?",,"Jeffrey Edward Fowle was an American municipal worker who gained international attention in 2014 when he was detained in North Korea for leaving a Bible in a hotel room. He was released after six months of captivity and returned to his home in Ohio. Prior to his detainment, Fowle worked as a city streets department employee and was described as a devoted family man.","I'm sorry, but I do not have information about Jeffrey Edward Fowle's birthdate.",1958,TRUE
